osm_id,name,amenity,entrance,railway,wheelchair,geometry
223339781,North Finchley Bus Station,bus_station,,,yes,-0.1766692|51.6126721
1304054853,,,,,,-0.194345|51.5720735
1304054855,,,,,,-0.1946026|51.5721579
1422925294,,,,subway_entrance,,-0.1944435|51.5721058
1977276649,,,,,,-0.2741486|51.612727
1977276652,,,,,,-0.274534|51.6129266
1977276654,,,,,,-0.274982|51.6130449
1977276656,,,,,,-0.2749372|51.6130984
1977276658,,,,,,-0.2741861|51.6126887
1977276660,,,,,,-0.2745295|51.6128952
1977307407,,,main,,,-0.2746076|51.6128773
2106179508,,,,,,-0.2225823|51.5755851
2106179649,,,,,,-0.2226762|51.5756968
2106179654,,,,,,-0.2233016|51.5756847
2106179679,,,,,,-0.2232046|51.5753984
2106179686,,,,,,-0.2228716|51.575815
2106179731,,,,,,-0.2232838|51.5754982
5222529392,,,,,,-0.1943065|51.5721142
10743233113,,,,,,-0.1940627|51.5720417
10743233115,,,,,,-0.1952458|51.5718745
10743233116,,,,,,-0.1954094|51.5719034
10743233117,,,,,,-0.1954963|51.5724418
10743233118,,,,,,-0.1946914|51.5722027
10743233119,,,,,,-0.1945062|51.5721263
10743233120,,,,,,-0.1941272|51.5720609
10743233121,,,,,,-0.1936769|51.5719435
10743233122,,,,,,-0.1937161|51.5717651
10743233123,,,,,,-0.1937692|51.5715813
10743233124,,,,,,-0.1939965|51.5716095
10743233125,,,,,,-0.1949947|51.5718202
10743233126,,,,,,-0.1954223|51.5720714
10743233127,,,,,,-0.1954931|51.5724621
