osm_id,name,addr:city,addr:housename,addr:housenumber,addr:postcode,addr:street,amenity,brand,brand:wikidata,fhrs:id,fixme,gambling,survey:date,geometry
408026152,,,,,,,,,,,,,,-0.2165299|51.5582841
408026153,,,,,,,,,,,,,,-0.2168375|51.5581115
408026155,,,,,,,,,,,,,,-0.2165243|51.5579523
408026157,,,,,,,,,,,,,,-0.2158978|51.5583166
408026158,,,,,,,,,,,,,,-0.2158175|51.5583433
408026160,,,,,,,,,,,,,,-0.2163942|51.558823
408026161,,,,,,,,,,,,,,-0.216631|51.5587167
408026162,,,,,,,,,,,,,,-0.2167946|51.5588594
408026163,,,,,,,,,,,,,,-0.2170333|51.5587455
911128222,,,,,,,,,,,,,,-0.2162697|51.5587238
2516272014,,,,,,,,,,,,,,-0.2166052|51.5579566
2516272018,,,,,,,,,,,,,,-0.2166646|51.5579745
2516272019,,,,,,,,,,,,,,-0.216487|51.5579601
2516272022,,,,,,,,,,,,,,-0.2165648|51.5579518
5631245887,,,,,,,,,,,,,,-0.2168276|51.5581445
5631245888,,,,,,,,,,,,,,-0.2168893|51.5585908
5631245889,,,,,,,,,,,,,,-0.2168617|51.5586033
5631245890,,,,,,,,,,,,,,-0.21644|51.5579868
5631245891,,,,,,,,,,,,,,-0.2164876|51.5579824
5631245892,,,,,,,,,,,,,,-0.2164524|51.5579969
5631245893,,,,,,,,,,,,,,-0.2166342|51.5580001
5631245894,,,,,,,,,,,,,,-0.2166811|51.5580304
5631245895,,,,,,,,,,,,,,-0.2167375|51.5580281
5631245896,,,,,,,,,,,,,,-0.2166943|51.5580256
5631245897,,,,,,,,,,,,,,-0.2165056|51.557955
5631245898,,,,,,,,,,,,,,-0.2165435|51.557951
5631245899,,,,,,,,,,,,,,-0.2165847|51.5579536
5631245900,,,,,,,,,,,,,,-0.216645|51.5579672
5631245901,,,,,,,,,,,,,,-0.2166258|51.5579615
5631245902,,,,,,,,,,,,,,-0.2167683|51.5580538
5631245903,,,,,,,,,,,,,,-0.2167913|51.5580555
5631245904,,,,,,,,,,,,,,-0.2168124|51.5580703
5631245905,,,,,,,,,,,,,,-0.2168117|51.5580868
11744997172,Buzz Bingo,Borehamwood,The Point,84,WD6 1EH,Shenley Road,gambling,Buzz Bingo,Q60746117,1227329,Check location in building.,bingo;slot_machines,2021-04-15,-0.2750337|51.6553933
