osm_id,name,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:street,building,note,note:addr,source,source:addr,survey:date,geometry
1720655965,,,,,,,,,,,,,,-0.1949073|51.5968781
1720655969,,,,,,,,,,,,,,-0.195357|51.5967816
1720655972,,,,,,,,,,,,,,-0.195202|51.596904
1720655975,,,,,,,,,,,,,,-0.1949384|51.5967414
1720656004,,,,,,,,,,,,,,-0.1951882|51.5969646
1720656007,,,,,,,,,,,,,,-0.1953382|51.5968644
1986274150,,,,,,,,,,,,,,-0.1722026|51.6301136
1986274156,,,,,,,,,,,,,,-0.1719183|51.6300487
1986274227,,,,,,,,,,,,,,-0.1721812|51.6302068
1986274259,,,,,,,,,,,,,,-0.1718995|51.6302385
1986274324,,,,,,,,,,,,,,-0.1721731|51.6301702
2118742761,,,,,,,,,,,,,,-0.1953222|51.5970351
2118742770,,,,,,,,,,,,,,-0.1952272|51.596968
2118742780,,,,,,,,,,,,,,-0.1951461|51.5967638
2118742783,,,,,,,,,,,,,,-0.1950299|51.5967228
2118742793,,,,,,,,,,,,,,-0.195024|51.5967489
2118742795,,,,,,,,,,,,,,-0.1951961|51.5967685
2118742798,,,,,,,,,,,,,,-0.1952605|51.5967481
2118742814,,,,,,,,,,,,,,-0.1951569|51.5967323
2118742815,,,,,,,,,,,,,,-0.1952019|51.596743
2118742831,,,,,,,,,,,,,,-0.1953606|51.5968664
2118742838,,,,,,,,,,,,,,-0.1953121|51.5970793
2118742844,,,,,,,,,,,,,,-0.1952041|51.5970698
2118742866,,,,,,,,,,,,,,-0.1952549|51.5967726
2429615496,The Welford Centre,Wembley,GB,Welford Centre,113,HA9 9FX,Chalkhill Road,public,Public part seems to be levels 0 and 1.  I'm not sure how the community centre and health centre is spread between them.,Assumed to have same base address as community centre it contains.,survey,FHRS Open Data;inference,2013-08-23,-0.2765219|51.5638413
