osm_id,entrance,geometry
210372048,,-0.2551109|51.6615502
210372049,,-0.2553532|51.6609655
210372050,,-0.2581376|51.6614057
210372844,,-0.2566629|51.6628324
210372846,,-0.2558406|51.6628732
210372848,,-0.2557411|51.6621007
210372850,,-0.2565631|51.6620599
210373424,,-0.257799|51.6627736
210373425,,-0.2570825|51.6628122
210373428,,-0.2570117|51.6623063
210373429,,-0.2577282|51.6622677
273403953,,-0.1776929|51.6339284
273403954,,-0.1775916|51.633611
273403955,,-0.1766901|51.6337219
273403956,,-0.1767913|51.6340392
273403960,,-0.1781081|51.634063
273404032,,-0.1784738|51.6333711
273404033,,-0.1778874|51.6334414
273404034,,-0.177741|51.6329706
273404035,,-0.1783273|51.6329003
301559371,,-0.1934489|51.5993158
301559372,,-0.1932969|51.5988754
301559373,,-0.1930116|51.5990819
301559375,,-0.1937348|51.599109
450822651,,-0.2356101|51.5692349
450822652,,-0.23274|51.5697466
450822653,,-0.2330013|51.5703129
450822654,,-0.2358714|51.5698013
781833279,,-0.1740947|51.6286358
781833289,,-0.1740554|51.6287279
781833299,,-0.1743228|51.6289048
781833420,,-0.1738351|51.6281211
781833427,,-0.174079|51.6284198
781833429,,-0.1740679|51.6289115
781833448,,-0.173897|51.6286301
781833478,,-0.1743103|51.6287212
781833482,,-0.1740334|51.628231
781833499,,-0.1740356|51.6281086
781843122,,-0.1741074|51.6282418
1473239780,,-0.2578973|51.6619906
1643307530,,-0.2526791|51.6561647
1643307547,,-0.2516037|51.6564544
1643307554,,-0.2518025|51.6567385
1643307555,,-0.2531006|51.6568382
1643307568,,-0.2537685|51.6572525
1643307576,,-0.2521299|51.6574404
1643307591,,-0.2527978|51.6578547
1978230386,,-0.1739197|51.6008065
1978230393,,-0.1742301|51.600338
1978230408,,-0.1742738|51.6004749
1978230413,,-0.1736963|51.6007212
1978230430,,-0.1737937|51.6008215
1978230433,,-0.1737615|51.6007098
1978230464,,-0.1735872|51.6004133
1983572909,,-0.145919|51.6065677
1983607376,,-0.1459758|51.6062986
1983607419,,-0.1458202|51.6064051
1983607423,,-0.1459136|51.606561
1983607455,,-0.1458603|51.6062078
1983607483,,-0.1460405|51.6062786
1983607505,,-0.1456977|51.6062523
1983607569,,-0.1457949|51.6064129
1983607578,,-0.1458381|51.6064667
1983607584,,-0.1459473|51.6061624
1983607592,,-0.1458484|51.606193
1986274179,,-0.1738876|51.6284251
1986274181,,-0.1738641|51.6284273
1986274191,,-0.1740907|51.6282393
1986274233,,-0.1739942|51.6286379
1986274251,,-0.1739933|51.6286235
2095027160,,-0.2608971|51.6590579
2095027161,,-0.2604484|51.6590882
2095027166,,-0.2608268|51.6597128
2095027168,,-0.2613518|51.659736
2095027170,,-0.260365|51.659818
2095027171,,-0.2613405|51.6598578
2118729774,,-0.1930315|51.5990924
2118729906,,-0.1931854|51.5991752
2121765421,,-0.1756413|51.6034015
2121765438,,-0.1748635|51.6035226
2121765446,,-0.1747526|51.603248
2121765466,,-0.1755304|51.6031268
3077922113,,-0.252878|51.6564489
3077922114,yes,-0.2529328|51.6569446
3077931656,,-0.2538831|51.6585168
3077931660,,-0.2548044|51.6580824
3077931665,,-0.2542136|51.6586493
3077931669,,-0.2544737|51.6579498
5934126401,,-0.1797961|51.6125451
5934126402,,-0.1796606|51.6124741
5934126403,,-0.1796737|51.6124645
5934126404,,-0.1796449|51.6124494
5934126405,,-0.1798159|51.6123236
5934126406,,-0.1799153|51.6123757
5934126407,,-0.1798382|51.6124324
5934126408,,-0.179903|51.6124664
9557402538,main,-0.1458262|51.6062172
9557402540,,-0.1461374|51.6065001
10217398423,,-0.2583918|51.6611076
10217398424,,-0.2559915|51.6607163
10217398428,,-0.2586329|51.6605382
10269992794,,-0.1327648|51.5879087
10269992795,,-0.1324043|51.5886189
10269992796,,-0.1325085|51.588644
10269992797,,-0.132668|51.588463
10269992798,,-0.1329182|51.5881822
10269992799,,-0.1328968|51.5881763
10269992800,,-0.1330543|51.5880284
10291599647,,-0.178581|51.6334839
10291599648,,-0.1787521|51.6339769
10291599649,,-0.177937|51.63357
10295240226,main,-0.1751415|51.6031874
10568432174,,-0.2557426|51.6621187
10568432175,,-0.2557533|51.662195
10568432178,,-0.2551444|51.6614737
10568432179,,-0.2552815|51.6611365
10568432182,,-0.2562327|51.6601471
