osm_id,name,addr:city,addr:housenumber,addr:postcode,addr:street,description,entrance,fhrs:id,opening_hours,payment:cards,phone,shop,source,source:addr,source:addr:postcode,survey:date,website,geometry
410952424,Serhat Off License,London,141A,,Cricklewood Broadway,,,,,,,alcohol,,,,,,-0.2144085|51.5558014
410952460,JAN Off Licence,,,,,,,,,,,alcohol,,,,,,-0.2136621|51.5555383
581427087,Wine Connection,,,,,,,,,,,alcohol,,,,,,-0.1296182|51.5718852
611282345,Whitehall Wines,,,,,,,,,,,alcohol,,,,,,-0.1329064|51.5704591
846591075,,,,,,,,,,,,,,,,,,-0.1372951|51.5607177
846591161,,,,,,,,,,,,,,,,,,-0.1375359|51.5607051
846591194,,,,,,,,,,,,,,,,,,-0.1375088|51.5607591
846591273,,,,,,,,,,,,,,,,,,-0.1373221|51.5606637
1427170788,,,,,,,,,,,,,,,,,,-0.1736481|51.5552403
1427170816,,,,,,,,,,,,,,,,,,-0.1737097|51.5551364
1427170834,,,,,,,,,,,,,,,,,,-0.1737311|51.5552321
1427170928,,,,,,,,,,,,,,,,,,-0.1736829|51.5552483
1427170944,,,,,,,,,,,,,,,,,,-0.1737785|51.5551521
1427171079,,,,,,,,,,,,,,,,,,-0.1736971|51.5552243
1599369885,The Local,,,,,,,,,,,alcohol,,,,,,-0.2039266|51.6457942
1993188858,,,,,,,,,,,,alcohol,,,,,,-0.2786306|51.5848233
2095564931,,,,,,,,,,,,,,,,,,-0.1788118|51.556101
2095564932,,,,,,,,,,,,,,,,,,-0.1789684|51.5561008
2095564933,,,,,,,,,,,,,,,,,,-0.1789685|51.5561421
2095564934,,,,,,,,,,,,,,,,,,-0.1788119|51.5561422
2096222288,,,,,,,main,,,,,,photograph,,,,,-0.1788119|51.5561318
4345562647,,,,,,,,,,,,,,,,,,-0.2386402|51.5767487
4345562651,,,,,,,,,,,,,,,,,,-0.2386755|51.5767838
4345562652,,,,,,,,,,,,,,,,,,-0.2385294|51.5767919
4345562653,,,,,,,,,,,,,,,,,,-0.2385428|51.5768051
4345562656,,,,,,,,,,,,,,,,,,-0.2385648|51.5768269
4345562657,,,,,,,,,,,,,,,,,,-0.2384704|51.5768333
4345562659,,,,,,,,,,,,,,,,,,-0.2384924|51.5768551
4892992907,,,,,,,,,,,,,,,,,,-0.148161|51.5709705
4892992908,,,,,,,,,,,,,,,,,,-0.1482139|51.5708942
4892992909,,,,,,,,,,,,,,,,,,-0.1480751|51.5709486
4892992910,,,,,,,,,,,,,,,,,,-0.1481516|51.5708757
4894490330,Hop 'n' Pops,,,,,,,,,,,alcohol,,,,,,-0.1489908|51.5783287
4947820428,,,,,,,,,,,,,,,,,,-0.1439431|51.5904083
4947820429,,,,,,,,,,,,,,,,,,-0.1438073|51.5903267
4947820448,,,,,,,,,,,,,,,,,,-0.1440151|51.59036
4947820449,,,,,,,,,,,,,,,,,,-0.1438891|51.5902917
4947820450,,,,,,,,,,,,,,,,,,-0.1438569|51.590295
5401978052,Capital,Wembley,107,HA9 8HG,Wembley Park Drive,,,532732,Mo-Sa 07:30-23:00,,+44 20 8903 1413,alcohol,,FHRS Open Data,,,,-0.2827504|51.5620334
5658255610,,,,,,,,,,,,,,,,,,-0.1868274|51.6464624
5658255611,,,,,,,,,,,,,,,,,,-0.1866115|51.6465634
5658255612,,,,,,,,,,,,,,,,,,-0.1865599|51.6465299
5658255613,,,,,,,,,,,,,,,,,,-0.1867546|51.6464329
5658255614,,,,,,,,,,,,,,,,,,-0.186703|51.6465206
8146169260,Bottles ‘N’ Jars,,82-92,,Great North Road,,,,,,+44 20 3714 8380,alcohol,,,,,https://bottlesnjars.co.uk/,-0.1619866|51.58497
9373510955,Caps and Taps,London,141,NW5 2HR,Fortess Road,Craft Beer Shop,,1492512,"Tu,We 14:00-20:00; Th-Sa 11:00-21:00; Su 11:00-17:00",yes,,alcohol,,,,,https://www.capsandtaps.co.uk/,-0.1391153|51.5561414
9573479764,,,,,,,,,,,,,,,,,,-0.1457222|51.5901139
9573479765,,,,,,,,,,,,,,,,,,-0.1458722|51.5899863
9573479790,,,,,,,,,,,,,,,,,,-0.1456482|51.5900804
9573479791,,,,,,,,,,,,,,,,,,-0.1457982|51.5899528
9930307125,V&M Wine Store,,,,,,,1149517,,,,alcohol,,,,,,-0.1459598|51.6153127
11063748420,Gisha,London,58,N3 2BU,Ballards Lane,,,757537,,,,alcohol,,,,,,-0.1908622|51.6031066
11739121016,VSP Wines,Borehamwood,44,WD6 1DR,Shenley Road,,,699267,,,,alcohol,,,FHRS Open Data,2024-03-15,,-0.2777132|51.6546436
