osm_id,name,addr:city,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,brand:wikipedia,door,entrance,opening_hours,phone,shop,source,website,wheelchair,geometry
842610969,,,,,,,,,,,,,,,,,-0.1363032|51.5616447
842611028,,,,,,,,,,,,,,,,,-0.1353795|51.563604
842611139,,,,,,,,,,,,,,,,,-0.136478|51.5616334
842611284,,,,,,,,,,,,,,,,,-0.1353561|51.5636458
842611340,,,,,,,,,,,,,,,,,-0.136327|51.5616013
842611502,,,,,,,,,,,,,,,,,-0.1351259|51.5635517
842611827,,,,,,,,,,,,,,,,,-0.1351034|51.563595
842612150,,,,,,,,,,,,,,,,,-0.1364541|51.5616768
1599374255,Mays Pet Shop,,,,,,,,,,,,pet,,,,-0.2037522|51.6458141
1965956775,,,,,,,,,,,,,,,,,-0.1420518|51.6117233
2802443628,Pet Vet,,,,,,,,,,,,pet,,,,-0.1472273|51.5775482
4449620030,Pets at Home,London,1,NW9 7TH,Silk Bridge Retail Park,Pets at Home,Q7179258,en:Pets at Home,,,,,pet,http://www.openstreetmap.org/note/748948,https://community.petsathome.com/store/hendon/,,-0.2450413|51.5809952
4974247313,,,,,,,,,,,,,,,,,-0.1463626|51.5705633
4974247314,,,,,,,,,,,,,,,,,-0.1462996|51.5706461
4974247316,,,,,,,,,,,,,,,,,-0.1463654|51.5706615
4974247317,,,,,,,,,,,,,,,,,-0.1462833|51.5706423
4974247821,,,,,,,,,,,,,,,,,-0.1464193|51.5705748
5230423004,,,,,,,,,,,,,,,,,-0.1462078|51.5707164
5230423005,,,,,,,,,,,,,,,,,-0.1462472|51.5707258
5230423006,,,,,,,,,,,,,,,,,-0.1463184|51.5706529
8840395100,,,,,,,,,,,,,,,,,-0.1425323|51.6114851
8840395101,,,,,,,,,,,,,,,,,-0.1419825|51.6117576
9247315182,Pet Boutique,,,,,,,,,,,,pet,,,,-0.1826531|51.5856924
9254700510,Pets at Home,,,,,Pets at Home,Q7179258,en:Pets at Home,,,Mo-Sa 09:00-18:00; Su 09:00-16:00,,pet,,https://community.petsathome.com/store/borehamwood/,yes,-0.2782626|51.655894
9410979197,,,,,,,,,,,,,,,,,-0.1426726|51.6115942
9410979198,,,,,,,,,,,,,,,,,-0.1421227|51.6118667
9451088254,,,,,,,,,sliding,main,,,,,,yes,-0.1426016|51.611539
9537720707,Broadway Pet Stores,London,6-8,N10 3RT,Muswell Hill Broadway,,,,,,Tu-Sa 09:00-17:30,+44 20 8883 3200,pet,,https://www.broadwaypetstores.co.uk,,-0.1446066|51.5892766
